date;tmin;tmax;prcp;snow;snwd;awnd
2017-06-12;67;89;0.0;0.0;0.0;6.49
2019-02-16;34;58;0.45;0.0;0.0;8.05
2017-06-14;66;93;0.0;0.0;0.0;5.82
2019-02-18;38;63;0.42;0.0;0.0;6.71
2017-06-15;70;91;0.0;0.0;0.0;3.36
2019-02-19;33;45;0.25;0.0;0.0;5.37
2017-07-02;71;92;0.0;0.0;0.0;4.47
2019-02-21;35;59;0.14;0.0;0.0;4.25
2017-07-05;70;89;0.47;0.0;0.0;2.46
2019-02-24;41;65;0.05;0.0;0.0;8.72
2017-07-11;71;95;0.0;0.0;0.0;6.93
2019-03-02;37;59;0.0;0.0;0.0;4.25
2017-07-16;73;91;0.05;0.0;0.0;5.14
2019-03-16;40;59;0.0;0.0;0.0;4.92
2017-07-19;67;94;0.0;0.0;0.0;2.68
2019-03-19;33;55;0.0;0.0;0.0;6.26
2017-07-20;71;99;0.0;0.0;0.0;3.8
2019-03-21;44;59;0.58;0.0;0.0;6.26
2017-07-22;76;101;0.0;0.0;0.0;10.74
2019-03-26;39;56;0.06;0.0;0.0;10.07
2017-08-03;68;94;0.0;0.0;0.0;3.8
2019-04-02;31;40;0.35;0.0;0.0;5.82
2017-08-04;68;92;0.0;0.0;0.0;7.16
2019-04-13;64;70;0.93;0.0;0.0;5.59
2017-08-07;74;92;0.04;0.0;0.0;10.96
2019-04-14;66;79;0.28;0.0;0.0;11.86
2017-08-13;73;81;0.73;0.0;0.0;6.26
2019-04-17;48;80;0.0;0.0;0.0;6.71
2017-08-21;71;93;0.0;0.0;0.0;3.13
2019-04-20;49;66;0.02;0.0;0.0;12.53
2017-08-27;63;81;0.0;0.0;0.0;9.17
2019-05-01;63;84;0.0;0.0;0.0;8.05
2017-08-31;69;87;0.01;0.0;0.0;7.16
2019-05-05;63;77;0.36;0.0;0.0;6.71
2017-09-04;59;87;0.0;0.0;0.0;3.58
2019-05-07;58;79;0.0;0.0;0.0;4.47
2017-09-13;61;84;0.0;0.0;0.0;6.71
2019-05-09;63;83;0.0;0.0;0.0;8.05
2017-09-22;61;89;0.0;0.0;0.0;2.24
2019-05-12;65;76;0.0;0.0;0.0;11.63
2017-09-25;63;83;0.0;0.0;0.0;6.71
2019-05-27;68;89;0.0;0.0;0.0;3.13
2017-10-20;43;77;0.0;0.0;0.0;2.01
2019-06-04;57;84;0.0;0.0;0.0;6.93
2017-10-21;48;79;0.0;0.0;0.0;2.01
2019-06-09;70;80;0.09;0.0;0.0;6.93
2017-10-23;61;76;1.12;0.0;0.0;10.74
2019-06-10;72;87;0.14;0.0;0.0;6.49
2017-10-30;36;59;0.0;0.0;0.0;6.93
2019-06-22;63;84;0.01;0.0;0.0;4.03
